sno,townName,category,state,district
4964,Vadamadurai,T.P,Tamil Nadu,Dindigul
4965,Vadavalli,T.P,Tamil Nadu,Coimbatore
4966,Vadgaon,C.T,Maharashtra,Pune
4967,Vadgaon Kasba,M.Cl,Maharashtra,Kolhapur
4968,Vadia,C.T,Gujarat,Narmada
4969,Vadipatti,T.P,Tamil Nadu,Madurai
4970,Vadnagar,M,Gujarat,Mahesana
4971,Vadodara,M.Corp,Gujarat,Vadodara
4972,Vadugapatti,T.P,Tamil Nadu,Erode
4973,Vadugapatti,T.P,Tamil Nadu,Theni
4974,Vaghodia INA,I.N.A,Gujarat,Vadodara
4975,Vaijapur,M.Cl,Maharashtra,Aurangabad
4976,Vaikom,M,Kerala,Kottayam
4977,Vairengte,C.T,Mizoram,Kolasib
4978,Vaitheeswarankoil,T.P,Tamil Nadu,Nagapattinam
4979,Valangaiman,T.P,Tamil Nadu,Thiruvarur
4980,Valapattanam,C.T,Kerala,Kannur
4981,Valasaravakkam,T.P,Tamil Nadu,Thiruvallur
4982,Valavanur,T.P,Tamil Nadu,Viluppuram
4983,Vallabh Vidhyanagar,M,Gujarat,Anand
4984,Vallachira,C.T,Kerala,Thrissur
4985,Vallam,T.P,Tamil Nadu,Thanjavur
4986,Valparai,T.P,Tamil Nadu,Coimbatore
4987,Valpoi,M.Cl,Goa,North Goa 
4988,Valsad,M,Gujarat,Valsad
4989,Valsad INA,I.N.A,Gujarat,Valsad
4990,Valvaithankoshtam,T.P,Tamil Nadu,Kanniyakumari
4991,Vanasthali,C.T,Rajasthan,Tonk
4992,Vanavasi,T.P,Tamil Nadu,Salem
4993,Vandalur,C.T,Tamil Nadu,Kancheepuram
4994,Vandavasi,M,Tamil Nadu,Tiruvanamalai
4995,Vandiyur,C.T,Tamil Nadu,Madurai
4996,Vaniputhur,T.P,Tamil Nadu,Erode
4997,Vaniyambadi,M,Tamil Nadu,Vellore
4998,Vanthali,M,Gujarat,Junagadh
4999,Vanvadi (Sadashivgad),C.T,Maharashtra,Satara
5000,Vaparala,C.T,Andhra Pradesh,Cuddapah
5001,Vapi,M,Gujarat,Valsad
5002,Vapi INA,I.N.A,Gujarat,Valsad
5003,Varadarajanpettai,T.P,Tamil Nadu,Ariyalur
5004,Varam,C.T,Kerala,Kannur
5005,Varanasi,M.Corp,Uttar Pradesh,Varanasi
5006,Varanasi,C.B,Uttar Pradesh,Varanasi
5007,Varappuzha,C.T,Kerala,Ernakulam
5008,Varca,C.T,Goa,South Goa
5009,Varkala,M,Kerala,Thiruvananthapuram
5010,Vartej,C.T,Gujarat,Bhavnagar
5011,Vasai,M.Cl,Maharashtra,Thane
5012,Vasantnagar,C.T,Maharashtra,Yavatmal
5013,Vashind,C.T,Maharashtra,Thane
5014,Vasna Borsad INA,I.N.A,Gujarat,Anand
5015,Vastral,M,Gujarat,Ahmadabad
5016,Vastrapur,C.T,Gujarat,Ahmadabad
5017,Vasudevanallur,T.P,Tamil Nadu,Tirunelveli
5018,Vathirairuppu,T.P,Tamil Nadu,Virudhunagar
5019,Vazhakkala,C.T,Kerala,Ernakulam
5020,Vazhapadi,T.P,Tamil Nadu,Salem
5021,Vedapatti,T.P,Tamil Nadu,Coimbatore
5022,Vedaranyam,T.P,Tamil Nadu,Nagapattinam
5023,Vedasandur,T.P,Tamil Nadu,Dindigul
5024,Veeraganur,T.P,Tamil Nadu,Salem
5025,Veerakeralam,T.P,Tamil Nadu,Coimbatore
5026,Veerakkalpudur,T.P,Tamil Nadu,Salem
5027,Veerapandi,C.T,Tamil Nadu,Coimbatore
5028,Veerapandi,T.P,Tamil Nadu,Coimbatore
5029,Veerapandi,T.P,Tamil Nadu,Theni
5030,Veerappanchatram,T.P,Tamil Nadu,Erode
5031,Veeravanallur,T.P,Tamil Nadu,Tirunelveli
5032,Veerbhadra,ITS,Uttaranchal,Dehradun
5033,Vehicle Fac. Jabalpur,C.T,Madhya Pradesh,Jabalpur
5034,Vejalpur,M,Gujarat,Ahmadabad
5035,Velampalayam,T.P,Tamil Nadu,Coimbatore
5036,Velankanni,T.P,Tamil Nadu,Nagapattinam
5037,Vellakinar,T.P,Tamil Nadu,Coimbatore
5038,Vellakoil,T.P,Tamil Nadu,Erode
5039,Vellalur,T.P,Tamil Nadu,Coimbatore
5040,Vellimalai,T.P,Tamil Nadu,Kanniyakumari
5041,Vellore,M,Tamil Nadu,Vellore
5042,Vellottamparappu,T.P,Tamil Nadu,Erode
5043,Velur,T.P,Tamil Nadu,Namakkal
5044,Vengampudur,T.P,Tamil Nadu,Erode
5045,Vengathur,C.T,Tamil Nadu,Thiruvallur
5046,Vengurla,M.Cl,Maharashtra,Sindhudurg
